order_id,customer_id,order_date,shipment_date,order_ammount,order_status
43,20,2021-02-21 08:44:00,2021-02-28 08:44:00,7471,Cancel
44,43,2022-02-06 03:12:59,2022-02-11 03:12:59,2526,Approved
45,49,2021-10-06 00:55:15,2021-10-13 00:55:15,3511,Approved
46,91,2023-10-02 07:08:58,2023-10-07 07:08:58,5437,Approved
47,96,2022-05-07 22:54:45,2022-05-17 22:54:45,6766,Cancel
48,78,2021-10-10 15:42:58,2021-10-15 15:42:58,4433,Cancel
49,33,2020-02-06 03:16:04,2020-02-16 03:16:04,4806,Cancel
50,50,2023-05-25 17:53:54,2023-06-01 17:53:54,7959,Cancel
51,52,2023-04-21 13:57:45,2023-04-26 13:57:45,6220,Cancel
52,29,2023-09-03 03:23:46,2023-09-13 03:23:46,1480,Approved
53,26,2023-05-12 12:04:05,2023-05-19 12:04:05,1409,Cancel
54,6,2021-09-27 06:47:32,2021-10-02 06:47:32,7396,Approved
55,17,2021-05-26 11:32:28,2021-06-05 11:32:28,6623,Cancel
56,50,2022-10-28 20:42:19,2022-11-04 20:42:19,1781,Cancel
57,23,2020-09-13 00:12:43,2020-09-18 00:12:43,5212,Cancel
58,24,2020-07-09 06:04:17,2020-07-19 06:04:17,7773,Cancel
59,23,2022-08-25 14:16:58,2022-08-30 14:16:58,4848,Cancel
60,96,2022-08-22 15:06:45,2022-08-27 15:06:45,4781,Approved
61,15,2021-07-04 07:57:28,2021-07-09 07:57:28,3835,Approved
62,79,2023-08-22 00:51:28,2023-08-29 00:51:28,5300,Cancel
63,80,2020-09-14 07:31:58,2020-09-24 07:31:58,7658,Cancel
64,95,2021-11-15 13:30:00,2021-11-22 13:30:00,1176,Approved
65,47,2022-01-17 07:36:06,2022-01-22 07:36:06,4823,Approved
66,10,2022-05-17 21:42:47,2022-05-22 21:42:47,5494,Cancel
67,18,2021-04-02 13:02:37,2021-04-07 13:02:37,7172,Approved
68,78,2021-05-15 02:34:40,2021-05-20 02:34:40,1333,Approved
69,59,2022-08-03 01:26:22,2022-08-10 01:26:22,1715,Approved
70,30,2022-07-16 05:03:21,2022-07-23 05:03:21,4565,Approved
71,44,2023-06-12 21:14:20,2023-06-19 21:14:20,1070,Cancel
72,42,2023-09-11 10:31:26,2023-09-18 10:31:26,6930,Cancel
73,61,2020-07-14 05:09:36,2020-07-24 05:09:36,2135,Approved
74,41,2023-01-11 06:58:11,2023-01-21 06:58:11,4591,Approved
75,64,2023-03-12 14:02:10,2023-03-19 14:02:10,5010,Cancel
76,36,2022-10-17 08:14:19,2022-10-27 08:14:19,5556,Approved
77,3,2020-07-13 06:11:08,2020-07-18 06:11:08,7022,Cancel
78,90,2023-02-27 20:32:29,2023-03-06 20:32:29,7038,Approved
79,44,2022-07-13 21:15:43,2022-07-20 21:15:43,7659,Cancel
80,4,2022-01-30 00:52:17,2022-02-04 00:52:17,1435,Cancel
81,46,2022-06-06 18:01:58,2022-06-13 18:01:58,3188,Approved
82,59,2020-06-29 16:23:44,2020-07-04 16:23:44,5403,Approved
83,63,2020-04-28 11:08:37,2020-05-08 11:08:37,3788,Approved
84,22,2021-06-24 02:40:46,2021-06-29 02:40:46,3288,Approved
85,90,2021-11-12 04:00:01,2021-11-17 04:00:01,4629,Approved
86,47,2023-10-09 23:39:56,2023-10-19 23:39:56,3653,Cancel
87,86,2022-05-22 00:50:35,2022-05-29 00:50:35,4801,Approved
88,10,2022-03-25 00:23:32,2022-04-04 00:23:32,5090,Cancel
89,25,2020-01-13 08:32:36,2020-01-23 08:32:36,1674,Approved
90,95,2023-07-22 14:05:38,2023-07-29 14:05:38,984,Cancel
91,48,2020-04-10 14:55:50,2020-04-20 14:55:50,6941,Cancel
92,49,2022-09-06 11:38:01,2022-09-11 11:38:01,7191,Approved
93,63,2021-01-24 22:25:57,2021-02-03 22:25:57,4046,Cancel
94,63,2023-09-08 13:33:50,2023-09-13 13:33:50,7487,Cancel
95,88,2023-06-21 00:25:47,2023-06-26 00:25:47,5493,Approved
96,40,2020-05-24 09:10:08,2020-06-03 09:10:08,1880,Approved
97,62,2021-08-08 13:06:22,2021-08-15 13:06:22,5482,Approved
98,29,2020-06-27 01:52:06,2020-07-04 01:52:06,4113,Approved
99,28,2022-10-15 20:10:47,2022-10-25 20:10:47,5994,Cancel
100,10,2022-01-09 04:48:56,2022-01-14 04:48:56,5148,Cancel
